Ionic Liquid,T0_1s,lnA,Ea(kJ/mol),Cations,Anions,SMILES,conductivity(S/m)
1-butyl-3-ethylimidazolium bromide,172.3448,6.685996765,10.09032832,1-butyl-3-ethylimidazolium,bromide,CCCC[N+]1=CN(C=C1)CC|[Br-],0.0502
1-butyl-3-isopentylimidazolium bis((trifluoromethyl)sulfonyl)amide,173.8183307,3.961499461,6.091660965,1-butyl-3-isopentylimidazolium,bis((trifluoromethyl)sulfonyl)amide,CCCC[N+]1=CN(C=C1)CCC(C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.145
1-butyl-3-isopentylimidazolium bis(trifluoromethylsulfonyl)imide,173.8183307,3.961499461,6.091660965,1-butyl-3-isopentylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCC[N+]1=CN(C=C1)CCC(C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.145
1-butyl-3-methyl-1H-imidazol-3-ium (3-cyanophenyl)trifluoroborate,208.5294047,4.471055362,5.512545781,1-butyl-3-methyl-1H-imidazol-3-ium,(3-cyanophenyl)trifluoroborate,CCCCN1C=C[N+](=C1)C|[B-](C1=CC(=CC=C1)C#N)(F)(F)F,0.053542156
1-butyl-3-methyl-1H-imidazol-3-ium (4-cyanophenyl)trifluoroborate,97.51785602,7.459027305,16.13061735,1-butyl-3-methyl-1H-imidazol-3-ium,(4-cyanophenyl)trifluoroborate,CCCCN1C=C[N+](=C1)C|[B-](C1=CC=C(C=C1)C#N)(F)(F)F,0.109559884
1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(2-fluorophenyl)borate,112.6448863,7.539687241,14.61591403,1-butyl-3-methyl-1H-imidazol-3-ium,trifluoro(2-fluorophenyl)borate,CCCCN1C=C[N+](=C1)C|[B-](C1=CC=CC=C1F)(F)(F)F,0.14412462
1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-(trifluoromethyl)phenyl)borate,112.6448863,7.539687241,14.61591403,1-butyl-3-methyl-1H-imidazol-3-ium,trifluoro(3-(trifluoromethyl)phenyl)borate,CCCCN1C=C[N+](=C1)C|FC(F)(F)C1=CC([B-](F)(F)F)=CC=C1,0.14412462
1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,170.5414139,4.988035562,6.956246867,1-butyl-3-methyl-1H-imidazol-3-ium,trifluoro(3-fluorophenyl)borate,CCCCN1C=C[N+](=C1)C|[B-](C1=CC(=CC=C1)F)(F)(F)F,0.208323993
1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-methoxyphenyl)borate,97.51785602,7.459027305,16.13061735,1-butyl-3-methyl-1H-imidazol-3-ium,trifluoro(3-methoxyphenyl)borate,CCCCN1C=C[N+](=C1)C|[B-](C1=CC(=CC=C1)OC)(F)(F)F,0.109559884
1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(4-(trifluoromethyl)phenyl)borate,184.1639759,4.268649601,6.256121577,1-butyl-3-methyl-1H-imidazol-3-ium,trifluoro(4-(trifluoromethyl)phenyl)borate,CCCCN1C=C[N+](=C1)C|[B-](C1=CC=C(C=C1)C(F)(F)F)(F)(F)F,0.097017444
1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(4-fluorophenyl)borate,112.6448863,7.539687241,14.61591403,1-butyl-3-methyl-1H-imidazol-3-ium,trifluoro(4-fluorophenyl)borate,CCCCN1C=C[N+](=C1)C|[B-](C1=CC=C(C=C1)F)(F)(F)F,0.14412462
