Ionic Liquid,T0_1s,lnA,Ea(kJ/mol),Cations,Anions,SMILES,conductivity(S/m)
1-methyl-1-octylpyrrolidinium bis(trifluoromethylsulfonyl)imide,181.005271,3.839922282,6.239063418,1-methyl-1-octylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,CCCCCCCC[N+]1(CCCC1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.081
1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,145.8365602,4.335233551,5.690224037,1-methyl-1-propylpyrrolidinium,bis(fluorosulfonyl)amide,CCC[N+]1(CCCC1)C|[N-](S(=O)(=O)F)S(=O)(=O)F,0.84
1-methyl-1-propylpyrrolidinium bis(trifluoromethylsulfonyl)imide,165.1327967,4.229433399,5.651331091,1-methyl-1-propylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,CCC[N+]1(CCCC1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.414489342
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,172.3124992,3.994489604,5.137324549,1-methyl-1-propylpyrrolidinium,bis[(trifluoromethyl)sulfonyl]imide,CCC[N+]1(CCCC1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4
1-methyl-2-oxopyrrolidin-1-ium sulfurochloridate,288.0717906,-1.755033159,0.13795645,1-methyl-2-oxopyrrolidin-1-ium,sulfurochloridate,C[NH+]1CCCC1=O|[O-]S(=O)(=O)Cl,0.033323801
1-methyl-3-(2-propoxyethyl)imidazolium bis(trifluoromethylsulfonyl)imide,203.1844901,1.256704073,1.891175882,1-methyl-3-(2-propoxyethyl)imidazolium,bis(trifluoromethylsulfonyl)imide,CCCOCCN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.318
1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,173.9419329,3.763373383,5.943369549,1-methyl-3-octylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCCCCCN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.133
1-methyl-3-octylimidazolium chloride,179.9828623,6.714672035,13.15798436,1-methyl-3-octylimidazolium,chloride,CCCCCCCCN1C=C[N+](=C1)C|[Cl-],0.001257695
1-methyl-3-octylimidazolium tetrafluoroborate,166.9236518,4.886174555,8.409336058,1-methyl-3-octylimidazolium,tetrafluoroborate,CCCCCCCCN1C=C[N+](=C1)C|[B-](F)(F)(F)F,0.0563
1-methyl-3-pentylimidazolium dihydrogen phosphate,166.3278724,3.382950693,5.257616615,1-methyl-3-pentylimidazolium,dihydrogen phosphate,CCCCCN1C=C[N+](=C1)C|OP(=O)(O)[O-],0.243
1-methyl-3-propyl-1H-imidazol-3-ium L-serinate,217.9945017,4.740304442,6.013610536,1-methyl-3-propyl-1H-imidazol-3-ium,L-serinate,CCCN1C=C[N+](=C1)C|C(C(C(=O)[O-])N)O,0.0137
1-methyl-3-propylimidazolium L-serinate,217.9945017,4.740304442,6.013610536,1-methyl-3-propylimidazolium,L-serinate,CCCN1C=C[N+](=C1)C|C(C(C(=O)[O-])N)O,0.0137
1-methyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide,131.8594014,5.40100009,8.397523969,1-methyl-3-propylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.542
1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,202.0342339,2.812498122,2.914092701,1-methyl-3-propylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,CCCN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.435
1-methyl-3-propylimidazolium dicyanamide,168.9478095,4.570336579,4.310695505,1-methyl-3-propylimidazolium,dicyanamide,CCCN1C=C[N+](=C1)C|C(#N)[N-]C#N,1.746
1-methyl-3-propylimidazolium dihydrogen phosphate,125.1194926,3.974669737,6.419214181,1-methyl-3-propylimidazolium,dihydrogen phosphate,CCCN1C=C[N+](=C1)C|OP(=O)(O)[O-],0.613
1-methylimidazolium acetate,172.3448,-0.490983615,0.600474914,1-methylimidazolium,acetate,C[N+]1=CNC=C1|CC(=O)[O-],0.333
1-methylpiperidinium tetrafluoroborate,0.767122755,3.298052697,26.39268044,1-methylpiperidinium,tetrafluoroborate,C[NH+]1CCCCC1|[B-](F)(F)(F)F,0.000625667
1-methylpyridinium methylsulfate,164.0621673,5.286261495,7.020796224,1-methylpyridinium,methylsulfate,C[N+]1=CC=CC=C1|COS(=O)(=O)[O-],0.363669014
1-methylpyrrolidinium tetrafluoroborate,161.3701057,-2.071301498,4.435163882,1-methylpyrrolidinium,tetrafluoroborate,C[NH+]1CCCC1|[B-](F)(F)(F)F,0.002550626
1-metyl-3-propylimidazolium hydrogen carbonate,184.0096343,1.746619011,2.134394897,1-metyl-3-propylimidazolium,hydrogen carbonate,CCCN1C=C[N+](=C1)C|C(=O)(O)[O-],0.606
1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,170.9383314,3.933175485,6.280116167,1-octyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,CCCCCCCCN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1311
1-octyl-3-methylimidazolium hexafluorophosphate,166.7148514,5.291799995,9.769107905,1-octyl-3-methylimidazolium,hexafluorophosphate,CCCCCCCCN1C=C[N+](=C1)C|F[P-](F)(F)(F)(F)F,0.0252
1-octylpyridinium bis(trifluoromethylsulfonyl)imide,160.5346487,4.160206552,7.757415053,1-octylpyridinium,bis(trifluoromethylsulfonyl)imide,CCCCCCCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.072806044
1-pentyl-3-methylimidazolium thiocyanate,151.4162391,3.598066572,5.510198455,1-pentyl-3-methylimidazolium,thiocyanate,CCCCCN1C=C[N+](=C1)C|C(#N)[S-],0.394
1-pentylpyridinium bis(trifluoromethylsulfonyl)amide,180.1058977,3.755077883,5.161052535,1-pentylpyridinium,bis(trifluoromethylsulfonyl)amide,CCCCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.222
1-pentylpyridinium bis(trifluoromethylsulfonyl)imide,180.339347,3.74551911,5.141146077,1-pentylpyridinium,bis(trifluoromethylsulfonyl)imide,CCCCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.216
1-pentylpyridinium dicyanamide,105.8441563,6.89697317,11.88796673,1-pentylpyridinium,dicyanamide,CCCCC[N+]1=CC=CC=C1|C(#N)[N-]C#N,0.595
1-propyl-3-methylimidazolium thiocyanate,172.3448,3.221979212,3.688047944,1-propyl-3-methylimidazolium,thiocyanate,CCCN1C=C[N+](=C1)C|C(#N)[S-],0.743
1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,176.6548711,3.821945335,4.712670707,1-propylpyridinium,bis((trifluoromethyl)sulfonyl)amide,CCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.430178593
1-propylpyridinium bis(trifluoromethylsulfonyl)imide,160.3183615,4.541635671,6.361265157,1-propylpyridinium,bis(trifluoromethylsulfonyl)imide,CCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.364388475
1-propylpyridinium dicyanamide,76.96902866,7.834583031,13.93921913,1-propylpyridinium,dicyanamide,CCC[N+]1=CC=CC=C1|C(#N)[N-]C#N,1.308
1-propylpyridinium tetrafluoroborate,201.7612583,4.303897396,4.188890164,1-propylpyridinium,tetrafluoroborate,CCC[N+]1=CC=CC=C1|[B-](F)(F)(F)F,0.401
"2,3-dimethyl-1-octylpyridinium bis(trifluoromethylsulfonyl)imide",174.8040312,4.491757727,7.56285125,"2,3-dimethyl-1-octylpyridinium",bis(trifluoromethylsulfonyl)imide,CCCCCCCC[N+]1=CC=CC(=C1C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0559
"2,3-dimethyl-1-pentylimidazolium hydrogen sulfate",220.1609085,3.451569518,3.926446229,"2,3-dimethyl-1-pentylimidazolium",hydrogen sulfate,CCCCCN1C=C[N+](=C1C)C_|OS(=O)(=O)[O-],0.075
"2,3-dimethyl-1-propylimidazolium hydrogen sulfate",172.5928676,5.155534669,7.569060829,"2,3-dimethyl-1-propylimidazolium",hydrogen sulfate,CCCN1C=C[N+](=C1C)C|OS(=O)(=O)[O-],0.123
"2-(acetyloxy)-N-ethyl-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",188.6084127,4.159493464,5.839442947,"2-(acetyloxy)-N-ethyl-N,N-dimethylethanaminium","1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CC[N+](C)(C)CCOC(=O)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1052
"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",218.0508255,3.060344038,4.586875207,"2-hydroxy-N,N,N-trimethylethanaminium",(S)-2-hydroxypropanoate,C[N+](C)(C)CCO|CC(O)C([O-])=O,0.0219
"2-hydroxy-N,N,N-trimethylethanaminium .beta.-alaninate",251.9672092,0.953357169,3.170549017,"2-hydroxy-N,N,N-trimethylethanaminium",.beta.-alaninate,C[N+](C)(C)CCO|NCCC([O-])=O,0.00071
"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",250.6690033,0.722721351,2.650277507,"2-hydroxy-N,N,N-trimethylethanaminium",L-alaninate,C[N+](C)(C)CCO|C[C@@H](C(=O)[O-])N,0.00213
"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",274.4098187,-2.17824579,1.623850933,"2-hydroxy-N,N,N-trimethylethanaminium",L-prolinate,C[N+](C)(C)CCO|C1C[C@H](NC1)C(=O)[O-],3.00E-05
"2-hydroxy-N,N,N-trimethylethanaminium L-serinate",72.9677908,15.10794514,41.39503334,"2-hydroxy-N,N,N-trimethylethanaminium",L-serinate,C[N+](C)(C)CCO|C(C(C(=O)[O-])N)O,0.00093
"2-hydroxy-N,N,N-trimethylethanaminium glycinate",196.9586797,3.698390463,7.302398504,"2-hydroxy-N,N,N-trimethylethanaminium",glycinate,C[N+](C)(C)CCO|C(C(=O)[O-])N,0.00677
2-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,192.1676183,3.850750436,4.516379042,2-methyl-1-propylpyridinium,bis((trifluoromethyl)sulfonyl)amide,CCC[N+]1=CC=CC=C1C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.28
2-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,192.1676183,3.850750436,4.516379042,2-methyl-1-propylpyridinium,bis(trifluoromethylsulfonyl)imide,CCC[N+]1=CC=CC=C1C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.28
2-methylpyridinium acetate,261.7310341,0.190490082,1.809605401,2-methylpyridinium,acetate,CC1=CC=CC=[NH+]1|CC(=O)[O-],0.00385
2-methylpyridinium bis(trifluoromethylsulfonyl)imide,175.3380726,4.511541875,5.768511192,2-methylpyridinium,bis(trifluoromethylsulfonyl)imide,CC1=CC=CC=[NH+]1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.337
2-methylpyridinium triflate,114.2542183,6.146135266,10.6459808,2-methylpyridinium,triflate,CC1=CC=CC=[NH+]1|C(F)(F)(F)S(=O)(=O)[O-],0.441761596
2-methylpyridinium trifluoroacetate,173.4295073,4.219166597,5.666196918,2-methylpyridinium,trifluoroacetate,CC1=CC=CC=[NH+]1|C(=O)(C(F)(F)F)[O-],0.292
"3,3'-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium) dicyanamide",172.3448,5.306250491,7.57100323,"3,3'-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium)",dicyanamide,C1=[N+](C=C[N]1CCCC)CCOCCOCC[N+]2=C[N]C=C2|C(#N)[N-]C#N,0.154
"3,3'-(1,5-pentanediyl)bis[1-methylimidazolium] 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",168.8579178,5.011465676,8.396812107,"3,3'-(1,5-pentanediyl)bis[1-methylimidazolium]","1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C[N+]1=CN(CCCN2C=C[N+](C)=C2)C=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.06
"3,3'-(propane-1,3-diyl)bis(1-methyl-1H-imidazol-3-ium) bis(trifluoromethylsulfonyl)imide",243.4587678,1.820517101,2.233834424,"3,3'-(propane-1,3-diyl)bis(1-methyl-1H-imidazol-3-ium)",bis(trifluoromethylsulfonyl)imide,C[N+]1=CN(C=C1)CCCN2C=C[N+](=C2)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.044
"3,3-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium) bis(trifluoromethylsulfonyl)imide",154.5188331,5.24131079,9.379483961,"3,3-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium)",bis(trifluoromethylsulfonyl)imide,CCCC[N+]1=CN(C=C1)CCOCCOCCOCCN2C=C[N+](=C2)CCCC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.072
"3,3-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium) dicyanamide",172.3448,5.037068791,7.196957677,"3,3-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium)",dicyanamide,CCCC[N+]1=CN(C=C1)CCOCCOCCOCCN2C=C[N+](=C2)CCCC|C(#N)[N-]C#N,0.17
"3,3-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium) bis(trifluoromethylsulfonyl)imide",153.8734823,5.463820806,9.588320466,"3,3-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium)",bis(trifluoromethylsulfonyl)imide,C1=[N+](C=C[N]1CCCC)CCOCCOCC[N+]2=C[N]C=C2|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.079
"3,3-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-butyl-1H-imidazol-3-ium) bis(trifluoromethylsulfonyl)imide",180.9157421,4.249363001,6.716593092,"3,3-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-butyl-1H-imidazol-3-ium)",bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](CCOCCOCCOCCOCC[N+]2=CN(CCCC)C=C2)=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.07
"3,3-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-butyl-1H-imidazol-3-ium) dicyanamide",225.2365071,3.608501289,3.409755298,"3,3-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-butyl-1H-imidazol-3-ium)",dicyanamide,CCCCN1C=C[N+](CCOCCOCCOCCOCC[N+]2=CN(CCCC)C=C2)=C1|C(#N)[N-]C#N,0.131
"3,3-(oxybis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium) bis(trifluoromethylsulfonyl)imide",161.7600743,5.072877956,8.861132772,"3,3-(oxybis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium)",bis(trifluoromethylsulfonyl)imide,O(CC[N+]1=C[N](C=C1)CCCC)CC[N+]2=C[N](C=C2)CCCC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.065
"3,3-(oxybis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium) dicyanamide",101.4290023,8.496166703,16.27120419,"3,3-(oxybis(ethane-2,1-diyl))bis(1-butyl-1H-imidazol-3-ium)",dicyanamide,O(CC[N+]1=C[N](C=C1)CCCC)CC[N+]2=C[N](C=C2)CCCC|C(#N)[N-]C#N,0.232
"3,5-dimethyl-1-octylpyridinium bis(trifluoromethylsulfonyl)imide",167.5053491,4.328472112,7.522987029,"3,5-dimethyl-1-octylpyridinium",bis(trifluoromethylsulfonyl)imide,CCCCCCCC[N+]1=CC(=CC(=C1)C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0744
3-(2-(butylamino)-2-oxoethyl)-1-ethyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,189.7652164,4.588121613,7.530103842,3-(2-(butylamino)-2-oxoethyl)-1-ethyl-1H-imidazolium,bis((trifluoromethyl)sulfonyl)amide,CCCCNC(=O)C[N+]1=CN(C=C1)CC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0233
3-(2-(butylamino)-2-oxoethyl)-1-ethyl-1H-imidazolium bis(trifluoromethylsulfonyl)imide,189.7652164,4.588121613,7.530103842,3-(2-(butylamino)-2-oxoethyl)-1-ethyl-1H-imidazolium,bis(trifluoromethylsulfonyl)imide,CCCCNC(=O)C[N+]1=CN(C=C1)CC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0233
3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)imide,225.9460887,4.359825765,5.35764944,3-(2-amino-2-oxoethyl)-1-vinylimidazolium,bis(trifluoromethylsulfonyl)imide,C=CN1C=C[N+](=C1)CC(=O)N|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.01
"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",238.5207111,2.695031734,2.357955189,3-(3-cyanopropyl)-1-methylimidazolium,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C[N+]1=CN(C=C1)CCCC#N|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.125
3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,72.94427704,10.05936263,22.04104397,3-(3-cyanopropyl)-1-methylimidazolium,bis(fluorosulfonyl)amide,C[N+]1=CN(C=C1)CCCC#N|[N-](S(=O)(=O)F)S(=O)(=O)F,0.182
3-(3-cyanopropyl)-1-methylimidazolium triflate,183.2566265,4.014257862,6.787655818,3-(3-cyanopropyl)-1-methylimidazolium,triflate,C[N+]1=CN(C=C1)CCCC#N|C(F)(F)(F)S(=O)(=O)[O-],0.046
3-(3-methoxypropyl)-1-methylimidazolium bis(trifluoromethylsulfonyl)imide,201.9458134,1.381413969,1.931049641,3-(3-methoxypropyl)-1-methylimidazolium,bis(trifluoromethylsulfonyl)imide,C[N+]1=CN(C=C1)CCCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.357
3-(cyanomethyl)-1-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,198.9578638,4.331727742,5.530655162,3-(cyanomethyl)-1-methyl-1H-imidazol-3-ium,bis((trifluoromethyl)sulfonyl)amide,C[N+]1=CN(C=C1)CC#N|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0919
3-(cyanomethyl)-1-methyl-1H-imidazol-3-ium bis(trifluoromethylsulfonyl)imide,172.3448,5.842165941,9.058461905,3-(cyanomethyl)-1-methyl-1H-imidazol-3-ium,bis(trifluoromethylsulfonyl)imide,C[N+]1=CN(C=C1)CC#N|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0648
3-(ethoxymethyl)-1-methylimidazolium bis(trifluoromethylsulfonyl)imide,207.836871,1.487614069,1.830867512,3-(ethoxymethyl)-1-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCOCN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.387
3-butyl-1-methyl-1H-imidazol-3-ium L-serinate,114.0439336,11.97407762,26.8100033,3-butyl-1-methyl-1H-imidazol-3-ium,L-serinate,CCCCN1C=C[N+](=C1)C|C(C(C(=O)[O-])N)O,0.00395
3-butyl-1-methyl-1H-imidazolium butanoate,163.7282704,5.98159974,10.64145934,3-butyl-1-methyl-1H-imidazolium,butanoate,CCCCN1C[NH+](C=C1)C|CCCC(=O)[O-],0.029005841
3-butyl-1-methyl-1H-imidazolium formate,173.4865794,5.537693254,7.755115759,3-butyl-1-methyl-1H-imidazolium,formate,CCCCN1C[NH+](C=C1)C|C(=O)[O-],0.14303334
3-butyl-1-methyl-1H-imidazolium propanoate,157.0615913,6.035595137,10.57519551,3-butyl-1-methyl-1H-imidazolium,propanoate,CCCCN1C[NH+](C=C1)C|CCC(=O)[O-],0.050800585
3-butyl-1-methyl-1H-imidazolium tetrakis(isothiocyanato)cobaltate(2-),192.2604902,4.948340653,6.119697394,3-butyl-1-methyl-1H-imidazolium,tetrakis(isothiocyanato)cobaltate(2-),CCCCN1C[NH+](C=C1)C|S=C=N[Co-2](N=C=S)(N=C=S)N=C=S,0.134
3-butyl-1-methylimidazolium benzoate,208.9947129,4.504372697,6.748848923,3-butyl-1-methylimidazolium,benzoate,CCCCN1C=C[N+](=C1)C|C1=CC=C(C=C1)C(=O)[O-],0.010047084
3-butyl-1H-imidazol-3-ium bis(trifluoromethylsulfonyl)imide,204.8762086,2.374125643,3.724210231,3-butyl-1H-imidazol-3-ium,bis(trifluoromethylsulfonyl)imide,CCCC[N+]1=CNC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0806
3-decyl-1H-imidazol-3-ium bis(trifluoromethylsulfonyl)imide,209.9808303,1.979084399,4.119253947,3-decyl-1H-imidazol-3-ium,bis(trifluoromethylsulfonyl)imide,CCCCCCCCCC[N+]1=CNC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0238
3-dodecyl-1H-imidazol-3-ium bis(trifluoromethylsulfonyl)imide,211.2623936,2.151468534,4.315206656,3-dodecyl-1H-imidazol-3-ium,bis(trifluoromethylsulfonyl)imide,CCCCCCCCCCCC[N+]1=CNC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0197
3-ethyl-1-methyl-1H-imidazolium L-serinate,154.3497029,6.652278171,11.22222376,3-ethyl-1-methyl-1H-imidazolium,L-serinate,CCN1C=C[N+](=C1)C|C(C(C(=O)[O-])N)O,0.065
3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,233.3273344,1.670072799,1.825915756,3-ethyl-1-methylimidazolium,(S)-2-hydroxypropanoate,CCN1C=C[N+](=C1)C|CC(O)C([O-])=O,0.189
3-hexyl-1H-imidazol-3-ium bis(trifluoromethylsulfonyl)imide,186.6054351,3.206081536,5.53981862,3-hexyl-1H-imidazol-3-ium,bis(trifluoromethylsulfonyl)imide,CCCCCC[N+]1=CNC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.06
3-methyl-1-pentylimidazolium dicyanamide,185.8944191,3.930667648,3.931620351,3-methyl-1-pentylimidazolium,dicyanamide,CCCCCN1C=C[N+](=C1)C|C(#N)[N-]C#N,0.756
3-methyl-1-pentylimidazolium hydrogen carbonate,239.5825761,1.278176949,1.301598975,3-methyl-1-pentylimidazolium,hydrogen carbonate,CCCCCN1C=C[N+](=C1)C|C(=O)(O)[O-],0.248
3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,170.3915819,4.175333973,5.428334892,3-methyl-1-propylpyridinium,bis(trifluoromethylsulfonyl)imide,CCC[N+]1=CC=CC(=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.393
4-(2-methoxyethyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,172.3448,2.423956148,5.436378986,4-(2-methoxyethyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)amide,C[N+]1(CCCCC1)CCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.065
4-(2-methoxyethyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)imide,172.3448,2.423956148,5.436378986,4-(2-methoxyethyl)-4-methylmorpholinium,bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCCC1)CCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.065
4-butyl-4-methylmorpholin-4-ium butylphosphonate,172.3448,0.640521269,3.281530461,4-butyl-4-methylmorpholin-4-ium,butylphosphonate,CCCC[N+]1(CCOCC1)C|[O-]P(OCCCC)=O,0.082
4-butyl-4-methylmorpholinium N-cyanocyanamide,218.8470939,1.76279978,2.451172015,4-butyl-4-methylmorpholinium,N-cyanocyanamide,CCCC[N+]1(CCOCC1)C|N#C[N-]C#N,0.141
4-ethyl-4-methylmorpholin-4-ium ethylphosphonate,172.3448,1.189004792,3.720676801,4-ethyl-4-methylmorpholin-4-ium,ethylphosphonate,CC[N+]1(CCOCC1)C|CCOP([O-])([H])=O,0.094
4-ethyl-4-morpholinium tetrafluoroborate,208.8975219,-2.593216067,4.318840338,4-ethyl-4-morpholinium,tetrafluoroborate,CC[NH+]1CCOCC1|[B-](F)(F)(F)F,0.000221874
4-heptyl-4-methylmorpholinium N-cyanocyanamide,229.2282483,0.299123159,2.248150705,4-heptyl-4-methylmorpholinium,N-cyanocyanamide,CCCCCCC[N+]1(CCOCC1)C|N#C[N-]C#N,0.027
4-hexyl-4-methylmorpholin-4-ium hexylphosphonate,172.3448,0.479660886,4.741779526,4-hexyl-4-methylmorpholin-4-ium,hexylphosphonate,CCCCCC[N+]1(CCOCC1)C|CCCCCCOP([O-])([H])=O,0.017
4-hexyl-4-methylmorpholinium N-cyanocyanamide,223.8483934,1.607198579,2.613944503,4-hexyl-4-methylmorpholinium,N-cyanocyanamide,CCCCCC[N+]1(CCOCC1)C|N#C[N-]C#N,0.074
"4-methyl-1-octyl-1H-1,2,4-triazol-4-ium bis(trifluoromethylsulfonyl)imide",189.4791552,3.347609171,5.853131843,"4-methyl-1-octyl-1H-1,2,4-triazol-4-ium",bis(trifluoromethylsulfonyl)imide,CCCCCCCCN1C=[N+](C=N1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0433
"4-methyl-1-propyl-1,2,4-triazolium bis((trifluoromethyl)sulfonyl)imide",188.4580862,3.825748887,5.041578452,"4-methyl-1-propyl-1,2,4-triazolium",bis((trifluoromethyl)sulfonyl)imide,CCCN1C=[N+](C=N1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1836
