Name,SMILES,Cation_SMILES,Anion_SMILES,Reduction Potential (V),Oxidation Potential (V),ECW (V)
tributyl(ethyl)phosphonium heptadecanoate,CCCCCCCCCCCCCCCCC(=O)[O-].CCCC[P+](CC)(CCCC)CCCC,CCCC[P+](CC)(CCCC)CCCC,CCCCCCCCCCCCCCCCC(=O)[O-],-2.24594192000026,-0.4773217600015784,1.7686201599986817
heptadecanoic acid cyclohexanamine salt (1:1),CCCCCCCCCCCCCCCCC(=O)[O-].[N+]C1CCCCC1,[N+]C1CCCCC1,CCCCCCCCCCCCCCCCC(=O)[O-],5.783081920001094,-0.4773217600015784,-6.260403680002672
"pyridinium, 4-(1-hexadecylheptadecyl)-1-methyl-, chloride",CCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCC)c1cc[n+](C)cc1.[Cl-],CCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCC)c1cc[n+](C)cc1,[Cl-],-0.9163977600000548,-0.7622934400004309,0.15410431999962393
1-ethyl-3-methylimidazolium stearate,CCCCCCCCCCCCCCCCCC(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CCCCCCCCCCCCCCCCCC(=O)[O-],-1.364969279999914,-0.4769083200013853,0.8880609599985287
1-(3-hydroxypropyl)-3-methylimidazolium stearate,CCCCCCCCCCCCCCCCCC(=O)[O-].C[n+]1ccn(CCCO)c1,C[n+]1ccn(CCCO)c1,CCCCCCCCCCCCCCCCCC(=O)[O-],-1.507799200000173,-0.4769083200013853,1.0308908799987877
1-(2-hydroxyethyl)-3-methylimidazolium stearate,CCCCCCCCCCCCCCCCCC(=O)[O-].C[n+]1ccn(CCO)c1,C[n+]1ccn(CCO)c1,CCCCCCCCCCCCCCCCCC(=O)[O-],-1.478355200000297,-0.4769083200013853,1.0014468799989118
octadecanoic acid cyclohexanamine salt (1:1),CCCCCCCCCCCCCCCCCC(=O)[O-].[N+]C1CCCCC1,[N+]C1CCCCC1,CCCCCCCCCCCCCCCCCC(=O)[O-],5.783081920001094,-0.4769083200013853,-6.259990240002479
"2-(docosyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium methanesulfonate",CCCCCCCCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.CS(=O)(=O)[O-],CCCCCCCCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C,CS(=O)(=O)[O-],-1.907280159996881,0.3353761600004503,2.242656319997331
"2-(docosyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium dicyanamide",CCCCCCCCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.N#C[N-]C#N,CCCCCCCCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C,N#C[N-]C#N,-1.907280159996881,-0.117386880000268,1.789893279996613
1-docosyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCCCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.39136959999727,2.363283040000678,3.754652639997948
1-Cosyl-3-methylimidazolium chloride,CCCCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],CCCCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,[Cl-],-1.196467999999223,-0.7622934400004309,0.43417455999879206
dimethyl di-octadecyl dimethylguanidinium dicyanamide,CCCCCCCCCCCCCCCCCCN(C)C(N(C)CCCCCCCCCCCCCCCCCC)=[N+](C)C.N#C[N-]C#N,CCCCCCCCCCCCCCCCCCN(C)C(N(C)CCCCCCCCCCCCCCCCCC)=[N+](C)C,N#C[N-]C#N,-4.44,-0.117386880000268,4.322613119999732
dimethyl di-octadecyl dimethylguanidinium tetraphenylborate,CCCCCCCCCCCCCCCCCCN(C)C(N(C)CCCCCCCCCCCCCCCCCC)=[N+](C)C.c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCCCCCCCCCCCCCCCCCN(C)C(N(C)CCCCCCCCCCCCCCCCCC)=[N+](C)C,c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,-4.44,0.2892041600010629,4.729204160001063
3-methyl-1-octadecyl-2-(thiazol-4-yl)benzimidazolium tetrafluoroborate,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21,F[B-](F)(F)F,-0.4908075200003084,3.808310239999682,4.299117759999991
3-methyl-1-octadecyl-2-(thiazol-4-yl)benzimidazolium trifluoromethanesulfonate,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21,O=S(=O)([O-])C(F)(F)F,-0.4908075200003084,2.288967200001534,2.7797747200018423
3-methyl-1-octadecyl-2-(thiazol-4-yl)benzimidazolium nitrate,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21,O=[N+]([O-])[O-],-0.4908075200003084,0.1507779199998911,0.6415854400001995
1-octadecyl-4-methylpyridinium hexafluorophosphate,CCCCCCCCCCCCCCCCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1ccc(C)cc1,F[P-](F)(F)(F)(F)F,-0.04757807999871222,4.568990879999146,4.616568959997858
"N-octadecyl-isoquinolinium tetrakis[3,5-bis(trifluoromethyl)phenyl]borate",CCCCCCCCCCCCCCCCCC[n+]1ccc2ccccc2c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCCCCCCCCCCCCCCCC[n+]1ccc2ccccc2c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,0.2035812799998524,2.254608160003554,2.0510268800037017
1-octadecyl-3-methylpyridinium hexafluorophosphate,CCCCCCCCCCCCCCCCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1cccc(C)c1,F[P-](F)(F)(F)(F)F,0.07364959999918863,4.568990879999146,4.495341279999957
3-methyl-1-octadecylpyridinium chloride,CCCCCCCCCCCCCCCCCC[n+]1cccc(C)c1.[Cl-],CCCCCCCCCCCCCCCCCC[n+]1cccc(C)c1,[Cl-],0.07364959999918863,-0.7622934400004309,-0.8359430399996195
