Name,SMILES,Melting_Point_Average(K)
1-Ethyl-3-methylimidazolium Isobutyrate,CC(C)C(=O)[O-].CCn1cc[n+](C)c1,209
1-(5-methylhexyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CC(C)CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,284.3
1-(4-methylpentyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CC(C)CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,276.3
3-methylbutylammonium formate,CC(C)CC[NH3+].O=C[O-],320.125
1-(3-methylbutyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CC(C)CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,273.1
trihexyl-tetradecylphosphonium diisobutyldithiophosphinate,CC(C)CP(=S)([S-])CC(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,298.15
1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide,CC(C)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,272.9
1-isobutyl-1-methylpiperidinium bis((trifluoromethyl)sulfonyl)imide,CC(C)C[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,287.9
2-methylpropylammonium formate,CC(C)C[NH3+].O=C[O-],299.125
Triisobutyl(methyl)phosphonium hexafluorophosphate,CC(C)C[P+](C)(CC(C)C)CC(C)C.F[P-](F)(F)(F)(F)F,475.15
Triisobutyl(methyl)phosphonium thiocyanate,CC(C)C[P+](C)(CC(C)C)CC(C)C.N#C[S-],480.15
Triisobutyl(methyl)phosphonium bis(fluorosulfonyl)amide,CC(C)C[P+](C)(CC(C)C)CC(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,309.15
Triisobutyl(methyl)phosphonium bis(trifluoromethanesulfonyl)amide,CC(C)C[P+](C)(CC(C)C)CC(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15
tri-isobutyl  phosphonium Mesylate,CC(C)C[PH+](CC(C)C)CC(C)C.CS(=O)(=O)[O-],278.15
tri-isobutyl  phosphonium bis((trifluoromethyl)sulfonyl)imide,CC(C)C[PH+](CC(C)C)CC(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15
tri-isobutyl  phosphonium Trifluoromethanesulfonat,CC(C)C[PH+](CC(C)C)CC(C)C.O=S(=O)([O-])C(F)(F)F,461.15
tri-isobutyl  phosphonium Nitrate,CC(C)C[PH+](CC(C)C)CC(C)C.O=[N+]([O-])[O-],279.15
1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide,CC(C)Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,245.025
1-(2-Diisopropylaminoethyl)dimethylethylammonium bis((trifluoromethyl)sulfonyl)imide,CC(C)N(CCC(C)[NH+](C)C)C(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,200.15
1-(2-Diisopropylaminoethyl)-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC(C)N(CCn1cc[n+](C)c1)C(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,306.15
tetrabutylphosphonium L-valinate,CC(C)[C@H](N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,298.92
valinium nitrate,CC(C)[C@H]([NH3+])C(=O)O.O=[N+]([O-])[O-],407.15
trimethyl-isopropylammonium bis((trifluoromethyl)sulfonyl)imide,CC(C)[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,402.15
1-methyl-3-(1-methylethyl)imidazolium hexafluorophosphate,CC(C)[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,375.1
1-methyl-3-(1-methylethyl)imidazolium bis[(trifluoromethyl)sulfonyl]imide,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,285.6
1-methyl-3-(1-methylethyl)imidazolium iodide,CC(C)[n+]1ccn(C)c1.[I-],387.1
"1-iso-propyl-3-(1,1,2,2-tetrafluoroethyl)imidazolium bis((trifluoromethyl)sulfonyl)imide",CC(C)n1cc[n+](C(F)(F)C(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,284.65
1-isopropyl-3-methylimidazolium hexafluorophosphate,CC(C)n1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,375.15
1-isopropyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC(C)n1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,289.15
1-isopropyl-3-methylimidazolium perfluorobutylsulfonate,CC(C)n1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,298.15
1-isopropyl-3-methylimidazolium bromide,CC(C)n1cc[n+](C)c1.[Br-],352.1
"trihexyl-tetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,298.15
1-(6-Dimethylaminohexyl)dimethylethylammonium bis((trifluoromethyl)sulfonyl)imide,CC(CCCCCCN(C)C)[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,214.15
1-(2-Dimethylaminoethyl)dimethylethylammonium bis((trifluoromethyl)sulfonyl)imide,CC(CCN(C)C)[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,296.15
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,CC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CC[N+](C)(C)CCO,279.18
1-dodecyloxymethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCCCCCCOCn1cc[nH+]c1,298.15
1-dodecylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCCCCCCn1cc[nH+]c1,298.15
1-undecyloxymethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCCCCCOCn1cc[nH+]c1,298.15
1-decyloxymethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCCCCOCn1cc[nH+]c1,298.15
1-decylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCCCCn1cc[nH+]c1,298.15
1-nonyloxymethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCCCOCn1cc[nH+]c1,298.15
1-nonylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCCCn1cc[nH+]c1,298.15
1-octyloxymethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCCOCn1cc[nH+]c1,298.15
1-octylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCCn1cc[nH+]c1,298.15
1-heptyloxymethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCOCn1cc[nH+]c1,298.15
1-heptylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCCn1cc[nH+]c1,298.15
1-hexyloxymethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCOCn1cc[nH+]c1,298.15
1-hexylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCCn1cc[nH+]c1,298.15
1-pentyloxymethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCOCn1cc[nH+]c1,298.15
1-pentylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCCn1cc[nH+]c1,298.15
1-butyloxymethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCOCn1cc[nH+]c1,298.15
1-butylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCCn1cc[nH+]c1,298.15
1-propylimidazolium DL-lactate,CC(O)C(=O)[O-].CCCn1cc[nH+]c1,298.15
1-ethylimidazolium DL-lactate,CC(O)C(=O)[O-].CCn1cc[nH+]c1,298.15
"1,1,3,3-tetramethylguanidinium lactate",CC(O)C(=O)[O-].CN(C)C(=[NH2+])N(C)C,223.1
4-Benzyl-4-methylmorpholinium lactate,CC(O)C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,298.15
1-methylimidazolium DL-lactate,CC(O)C(=O)[O-].Cn1cc[nH+]c1,298.15
Guanidinium DL-lactate,CC(O)C(=O)[O-].NC(N)=[NH2+],425.15
beta.-methylcholine chloride,CC(O)C[N+](C)(C)C.[Cl-],442
tris(2-hydroxypropyl)ammonium malonate,CC(O)C[NH+](CC(C)O)CC(C)O.CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])CC(=O)[O-],360.1
tris(2-hydroxypropyl)ammonium malate,CC(O)C[NH+](CC(C)O)CC(C)O.CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])CC(O)C(=O)[O-],371.1
tris(2-hydroxypropyl)ammonium succinate,CC(O)C[NH+](CC(C)O)CC(C)O.CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])CCC(=O)[O-],368.1
tris(2-hydroxypropyl)ammonium 2-methyl-4-chlorophenoxyacetate,CC(O)C[NH+](CC(C)O)CC(C)O.Cc1cc(Cl)ccc1OCC(=O)[O-],371.1
tris(2-hydroxypropyl)ammonium hydrogen oxalate,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])C(=O)O,393.1
tris(2-hydroxypropyl)ammonium cinnamate,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])C=Cc1ccccc1,360.1
tris(2-hydroxypropyl)ammonium hydrogen malonate,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])CC(=O)O,380.1
tris(2-hydroxypropyl)ammonium benzoate,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])c1ccccc1,359.1
tris(2-hydroxypropyl)ammonium salicylate,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])c1ccccc1O,376.1
tris(2-hydroxypropyl)ammonium nicotinate,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])c1cccnc1,391.1
"1-(2,2-dimethyl-1,3-dioxolan-4-yl)-N,N-dimethyl-N-(pyridin-3-ylmethyl)methanaminium tetrafluoroborate",CC1(C)OCC(C[N+](C)(C)Cc2cccnc2)O1.F[B-](F)(F)F,293.95
"3-azido-5-methyl-1H-1,2,4-triazol-1-ium nitrate",CC1=NC(N=[N+]=[N-])=N[NH2+]1.O=[N+]([O-])[O-],391.1
"1,3,5-trimethyl-1H-tetrazolium nitrate",CC1=NN(C)N[NH+]1C.O=[N+]([O-])[O-],367.1
"2,4,5-trimethyltetrazolium nitrate",CC1=[NH+]N(C)NN1C.O=[N+]([O-])[O-],367.15
"2,4,5-trimethyltetrazolium perchlorate",CC1=[NH+]N(C)NN1C.[O-][Cl+3]([O-])([O-])[O-],406.15
"3-amino-1,5-dimethyl-2,3-dihydro-1H-tetrazol-4-ium nitrate",CC1=[NH+]N(N)NN1C.O=[N+]([O-])[O-],367.125
"4,5-dimethyl-2-aminotetrazolium perchlorate",CC1=[NH+]N(N)NN1C.[O-][Cl+3]([O-])([O-])[O-],413.15
1-(2-pentynyl)-3-methyl-imidazolium azide,CCC#CCn1cc[n+](C)c1.[N-]=[N+]=[N-],292.15
cholinium propanoate,CCC(=O)[O-].C[N+](C)(C)CCO,282.57
triethyl-(2-methylbutyl)-ammonium bromide,CCC(C)C[N+](CC)(CC)CC.[Br-],373.15
2-methylbutylammonium formate,CCC(C)C[NH3+].O=C[O-],272.125
